customer_id,first_name,last_name,email,phone,city,state,country,signup_date
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,South Bridget,Alabama,India,2025-10-27
2,Erik,Henderson,eric51@example.org,(615)759-4078x1618,Lake Chad,Texas,India,2024-03-24
3,Keith,Miller,michellejames@example.com,+1-952-855-3419x2832,Veronicaside,Iowa,India,2025-08-07
4,Megan,Parsons,lydiatrujillo@example.com,513-695-3767x242,Hurstfurt,Mississippi,India,2024-03-15
5,Whitney,Hicks,camposmichelle@example.org,+1-326-691-6697x8480,Danielchester,Hawaii,India,2024-11-27
6,Stephanie,Liu,teresa28@example.org,+1-948-293-2528x8095,West Natashaport,Kansas,India,2023-09-20
7,Natalie,Arroyo,dennislisa@example.net,001-822-778-2489x63834,Lammouth,Delaware,India,2024-04-15
8,Caleb,Smith,briannasmith@example.net,+1-403-910-5183x4738,Port Thomas,Nebraska,India,2024-02-12
9,Collin,Jordan,ujenkins@example.org,+1-610-965-1333x87262,Port Sandra,New Hampshire,India,2025-12-20
10,Melissa,Garcia,novaksara@example.org,(267)873-6026,Saramouth,Maine,India,2024-10-24
11,Susan,Cowan,smoore@example.org,4982050097,Port Jacobland,Utah,India,2026-02-17
12,Richard,David,bethwilliams@example.org,(799)385-4353x46247,South Christineshire,Connecticut,India,2023-10-07
13,Jason,Baker,nicole35@example.com,(378)449-8084,Darrellville,West Virginia,India,2025-03-16
14,Joseph,Jacobs,james48@example.com,801-264-0052x427,North Sierraberg,Ohio,India,2023-08-27
15,Mike,Tran,tanderson@example.com,4535315869,Port Lisa,Nebraska,India,2023-08-15
16,Jill,Cook,vpham@example.org,521-260-7337x543,South Mark,California,India,2026-06-12
17,Joshua,May,ifrazier@example.com,8147294019,Samuelhaven,Delaware,India,2024-09-13
18,Barbara,Scott,zsmith@example.net,+1-835-661-5951x48465,East Robert,Missouri,India,2025-07-30
19,Raven,Gilbert,richard04@example.com,969.495.7773,West Zacharymouth,Colorado,India,2025-12-31
20,Karen,Chambers,lindsayhernandez@example.org,979.817.6936,East Diana,Alabama,India,2026-03-23
21,Michelle,Mcclure,zrobinson@example.net,870.983.1727x88957,Lake Michelle,New Hampshire,India,2024-04-28
22,John,Walsh,rsims@example.com,443-545-5812,Bensonborough,California,India,2024-10-15
23,Mark,Owens,clarkrobert@example.net,001-509-967-0546x688,West Ryan,Alaska,India,2024-09-17
